epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,99.9504,0.89489,1.66015,1.52148,1.09357,0.74816,0.68805,0.75201,0.56119,0.74927,0.68771,0.74652,0.49661,0.78212,1.59703,1.17664,1.04231,0.000662281,0.000662281,0.000662281
2,180.893,0.73583,1.17739,0.90808,0.99491,0.76631,0.63609,0.70532,0.55471,0.75548,0.64089,0.70261,0.48379,0.73937,1.78927,1.10724,1.03018,0.00119738,0.00119738,0.00119738
3,263.949,0.71393,1.11231,0.80291,0.98177,0.82027,0.80708,0.85634,0.69391,0.83449,0.78832,0.85186,0.62309,0.61964,1.09914,0.66686,0.94776,0.00160048,0.00160048,0.00160048
4,347.333,0.67556,1.0516,0.72303,0.96591,0.82534,0.80008,0.86168,0.69391,0.82946,0.80351,0.86011,0.61141,0.5867,0.99073,0.70803,0.93161,0.001406,0.001406,0.001406
5,428.953,0.61793,0.95164,0.65011,0.93981,0.87224,0.81626,0.8923,0.73751,0.87268,0.81667,0.89169,0.64195,0.55189,0.84188,0.55704,0.91657,0.001208,0.001208,0.001208
6,511.356,0.59759,0.90825,0.60039,0.92727,0.89503,0.83236,0.91796,0.76186,0.88682,0.83203,0.90986,0.69442,0.52714,0.72585,0.51624,0.89857,0.00101,0.00101,0.00101
7,593.974,0.55386,0.83539,0.55541,0.91313,0.88779,0.85338,0.9188,0.78316,0.89175,0.84723,0.91145,0.71021,0.48141,0.67219,0.46299,0.88505,0.000812,0.000812,0.000812
8,674.282,0.53007,0.78548,0.52175,0.90482,0.89842,0.86246,0.93157,0.78654,0.89569,0.85794,0.924,0.68957,0.47128,0.63823,0.44865,0.87553,0.000614,0.000614,0.000614
9,756.609,0.50149,0.75353,0.48585,0.89193,0.90237,0.88462,0.94765,0.82837,0.90869,0.87788,0.94039,0.73577,0.41897,0.54337,0.3814,0.85121,0.000416,0.000416,0.000416
10,838.525,0.47955,0.7218,0.46713,0.8855,0.91919,0.88503,0.9508,0.8401,0.91947,0.88462,0.94617,0.75637,0.39444,0.52459,0.36518,0.85031,0.000218,0.000218,0.000218
